timestamp,pair,base,quote,rate,pip_value,name
2025-10-21T15:35:00.894527,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:35:02.167103,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:35:03.397031,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:35:04.628067,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:35:05.809060,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:35:06.977634,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:35:08.210104,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:35:09.426517,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:36:10.670313,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:36:11.839099,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:36:13.116145,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:36:14.288862,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:36:15.572223,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:36:16.744331,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:36:17.922617,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:36:19.153984,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:36:20.375149,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:36:21.615601,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:37:22.819114,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:37:23.982827,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:37:25.221980,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:37:26.442034,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:37:27.592336,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:37:28.805107,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:37:30.001125,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:37:31.264499,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:37:32.441156,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:37:33.719702,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
